symbol
A1CAP
A1YEN
ACP
ACSEL
ADEL
ADESE
ADGYO
ADLVY
AEFES
AFB
AFYON
AGESA
AGHOL
AGROT
AGYO
AHGAZ
AHSGY
AKBNK
AKCKM
AKCNS
AKCVR
AKDFA
AKENR
AKFGY
AKFIS
AKFK
AKFYE
AKGRT
AKHAN
AKM
AKMEN
AKMGY
AKSA
AKSEN
AKSFA
AKSGY
AKSUE
AKTIF
AKTVK
AKYHO
ALARK
ALBRK
ALCAR
ALCTL
ALFAS
ALGYO
ALJF
ALK
ALKA
ALKIM
ALKLC
ALNUS
ALTNY
ALVES
ANC
ANELE
ANHYT
ANSGR
ARASE
ARCLK
ARDYZ
ARENA
ARFYE
ARMGD
ARSAN
ARSVY
ARTMS
ARZUM
ASELS
ASGYO
ASTOR
ASUZU
ATA
ATAGY
ATAKP
ATATP
ATATR
ATAVK
ATAYM
ATEKS
ATLAS
ATLFA
ATSYH
AVGYO
AVHOL
AVOD
AVPGY
AVTUR
AYCES
AYDEM
AYEN
AYES
AYGAZ
AZTEK
BAGFS
BAHKM
BAKAB
BALAT
BALSU
BANVT
BARMA
BASCM
BASGZ
BAYRK
BEGYO
BERA
BESLR
BESTE
BEYAZ
BFREN
BIENY
BIGCH
BIGEN
BIGTK
BIMAS
BINBN
BINHO
BIOEN
BIZIM
BJKAS
BLCYT
BLKOM
BLS
BLSMD
BLUME
BMSCH
BMSTL
BNTAS
BOBET
BORLS
BORSK
BOSSA
BRGAN
BRGFK
BRISA
BRKO
BRKSN
BRKT
BRKVY
BRLSM
BRMEN
BRSAN
BRYAT
BSOKE
BSRFK
BTCIM
BUCIM
BULGS
BUR
BURCE
BURVA
BVSAN
BYDNR
CAGFA
CANTE
CASA
CATES
CCOLA
CELHA
CEMAS
CEMTS
CEMZY
CEOEM
CGCAM
CIMSA
CLEBI
CLKMT
CMBTN
CMENT
CONSE
COSMO
CRDFA
CRFSA
CUSAN
CVKMD
CWENE
DAGI
DAPGM
DARDL
DCTTR
DENGE
DERHL
DERIM
DESA
DESPC
DEVA
DFKTR
DGATE
DGGYO
DGNMO
DGRVK
DIRIT
DITAS
DKVRL
DMD
DMRGD
DMSAS
DNFIN
DNISI
DNYVA
DNZEN
DOAS
DOFER
DOFRB
DOGUB
DOGVY
DOHOL
DOKTA
DSTKF
DSYAT
DTRND
DUNYH
DURDO
DURKN
DVRLK
DYBNK
DYOBY
DZGYO
DZY
DZYMK
EBEBK
ECILC
ECOGR
ECZIP
ECZYT
EDATA
EDIP
EFOR
EGEEN
EGEGY
EGEPO
EGGUB
EGPRO
EGSER
EKER
EKGYO
EKIZ
EKOFA
EKOS
EKOVR
EKSUN
EKTVK
ELITE
EMIRV
EMKEL
EMNIS
EMPAE
EMVAR
ENDAE
ENERY
ENJSA
ENKAI
ENSRI
ENTRA
EPLAS
ERBOS
ERCB
EREGL
ERGLI
ERSU
ESCAR
ESCOM
ESEN
ETILR
ETYAT
EUHOL
EUKYO
EUPWR
EUREN
EUYO
EXIMB
EYGYO
FADE
FAIRF
FBB
FBBNK
FENER
FIN
FKPET
FLAP
FMIZP
FONET
FORMT
FORTE
FRIGO
FRMPL
FROTO
FZLGY
GARAN
GARFA
GARFL
GATEG
GEDIK
GEDZA
GENIL
GENKM
GENTS
GEREL
GESAN
GGBVK
GIPTA
GLB
GLBMD
GLCVY
GLRMK
GLRYH
GLYHO
GMTAS
GOKNR
GOLTS
GOODY
GOZDE
GRNYO
GRSEL
GRTHO
GSDDE
GSDHO
GSRAY
GUBRF
GUNDG
GWIND
GZNMI
HALKB
HALKF
HALKI
HATEK
HATSN
HAYVK
HDFFL
HDFGS
HDFVK
HDFYB
HEDEF
HEKTS
HKTM
HLGYO
HLVKS
HLY
HOROZ
HRKET
HTTBT
HUBVC
