symbol,name,company_id
ANELE,ANEL ELEKTRİK PROJE TAAHHÜT VE TİCARET A.Ş.,4028e4a1416e696301416ecd11a12b86
ANHYT,ANADOLU HAYAT EMEKLİLİK A.Ş.,4028e4a140e95be70140ed40cb930098
ANSGR,ANADOLU ANONİM TÜRK SİGORTA ŞİRKETİ,4028e4a140e95bea0140ed21b5c10078
ARASE,DOĞU ARAS ENERJİ YATIRIMLARI A.Ş.,8acae2c47afb298b017ccb97632144e5
ARCLK,ARÇELİK A.Ş.,4028e4a240e95dc90140ed55b43900cf
ARDYZ,ARD GRUP BİLİŞİM TEKNOLOJİLERİ A.Ş.,8acae2c46d7599a6016dde9d93aa2b52
ARENA,ARENA BİLGİSAYAR SANAYİ VE TİCARET A.Ş.,4028e4a140e95bea0140ed5af3a000da
ARFYE,ARF BİO YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,8acae2c4998f24d8019b3576c66b77ad
ARMGD,ARMADA GIDA TİCARET SANAYİ A.Ş.,8acae2c59145e00e0193f29ce775161c
ARSAN,ARSAN HOLDİNG A.Ş.,4028e4a14158e41f01415b1862696142
ARSVY,ARSAN VARLIK YÖNETİM A.Ş.,8acae2c569cee403016a8d2b85e8733f
ARTMS,ARTEMİS HALI A.Ş.,8acae2c48c3efac0018dd4c742665c88
ARZUM,ARZUM ELEKTRİKLİ EV ALETLERİ SANAYİ VE TİCARET A.Ş.,4028e4a1415f4d990141600875c531b9
ASELS,ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.,4028e4a1413b7ef401413bc2251e0047
ASGYO,ASCE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,8acae2c562329bd1016464c3796e08a0
ASTOR,ASTOR ENERJİ A.Ş.,8acae2c562329bd10164405fe6c17996
ASUZU,ANADOLU ISUZU OTOMOTİV SANAYİ VE TİCARET A.Ş.,4028e4a140e95be70140ed43c4fe00a9
ATA,ATA YATIRIM MENKUL KIYMETLER A.Ş.,4028e4a140e95bea0140ede507ca0145
ATAGY,ATA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,4028e4a140e95bea0140eddf432a0115
ATAKP,ATAKEY PATATES GIDA SANAYİ VE TİCARET A.Ş.,8acae2c586d22c53018953500b004578
ATATP,ATP YAZILIM VE TEKNOLOJİ A.Ş.,8acae2c4794d364801798f781baf0fad
ATATR,ATA TURİZM İŞLETMECİLİK TAŞIMACILIK MADENCİLİK KUYUMCULUK SANAYİ VE DIŞ TİCARET A.Ş.,8acae2c59b85fa06019c31d76d8707fb
ATAVK,ATA VARLIK KİRALAMA A.Ş.,8acae2c494bafc93019634bf00163e28
ATAYM,ATA YATIRIM MENKUL KIYMETLER A.Ş.,4028e4a140e95bea0140ede507ca0145
ATEKS,AKIN TEKSTİL A.Ş.,4028e4a140f2ed7101412c13ba8303a8
ATLAS,ATLAS MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.,4028e4a240f2ef4c0141029fff920169
ATLFA,ATILIM FAKTORİNG A.Ş.,4028e4a140f2ed7101413af757590466
ATSYH,ATLANTİS YATIRIM HOLDİNG A.Ş.,4028e4a241558bd9014155dde60a05e7
AVGYO,AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,4028e4a240f2ef4c0141029cf7680164
AVHOL,AVRUPA YATIRIM HOLDİNG A.Ş.,1DE05DAA81E9073AE0530A4A622A2EBD
AVOD,A.V.O.D. KURUTULMUŞ GIDA VE TARIM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,4028e4a140f2ed72014107916fed023d
AVPGY,AVRUPAKENT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,8acae2c48c3efabf018c4824da4a0623
AVTUR,AVRASYA PETROL VE TURİSTİK TESİSLER YATIRIMLAR A.Ş.,4028e4a241733d42014182b942a247e4
AYCES,ALTIN YUNUS ÇEŞME TURİSTİK TESİSLER A.Ş.,4028e4a240e95dc90140ed1bc88e0071
AYDEM,AYDEM YENİLENEBİLİR ENERJİ A.Ş.,8acae2c4782a4d580178b56e7c5c4404
AYEN,AYEN ENERJİ A.Ş.,4028e4a240e95dc90140edf072ef0165
AYES,AYES ÇELİK HASIR VE ÇİT SANAYİ A.Ş.,4028e4a1416f846101416f85f6730028
AYGAZ,AYGAZ A.Ş.,4028e4a140e95be70140ee03bd6000e0
AZTEK,AZTEK TEKNOLOJİ ÜRÜNLERİ TİCARET A.Ş.,8acae2c4819d0efe01826e96dd896e0e
BAGFS,BAGFAŞ BANDIRMA GÜBRE FABRİKALARI A.Ş.,4028e4a240f2ef4701410810f53601c4
BAHKM,BAHADIR KİMYA SANAYİ VE TİCARET A.Ş.,8acae2c48c3efabf0191137b972152e7
BAKAB,BAK AMBALAJ SANAYİ VE TİCARET A.Ş.,4028e4a1415f4d9b01415fdc75f12f64
BALAT,BALATACILAR BALATACILIK SANAYİ VE TİCARET A.Ş.,4028e4a1416e696501416ee5a3d939ad
BALSU,BALSU GIDA SANAYİ VE TİCARET A.Ş.,8acae2c580e9103101811f4715cc1821
BANVT,BANVİT BANDIRMA VİTAMİNLİ YEM SANAYİ A.Ş.,4028e4a1415f4d990141601902e33250
